Player,Pos.,Team,Total Value,Avg./Year,Total Guaranteed, Avg. Guarantee/Year, % Guaranteed
Joe Flacco,QB,Ravens,"$66,400,000","$22,133,333","$44,000,000","$14,666,667",66.30%
Aaron Rodgers,QB,Packers,"$110,000,000","$22,000,000","$54,000,000","$10,800,000",49.10%
Russell Wilson,QB,Seahawks,"$87,600,000","$21,900,000","$31,700,000","$7,925,000",36.20%
Ben Roethlisberger,QB,Steelers,"$87,400,000","$21,850,000","$34,250,000","$8,562,500",39.20%
Eli Manning,QB,Giants,"$84,000,000","$21,000,000","$36,500,000","$9,125,000",43.50%
Philip Rivers,QB,Chargers,"$83,250,000","$20,812,500","$37,500,000","$9,375,000",45.00%
Cam Newton,QB,Panthers,"$103,800,000","$20,760,000","$41,000,000","$8,200,000",39.50%
Matt Ryan,QB,Falcons,"$103,750,000","$20,750,000","$42,000,000","$8,400,000",40.50%
Tom Brady,QB,Patriots,"$41,000,000","$20,500,000","$28,000,000","$14,000,000",68.30%
Drew Brees,QB,Saints,"$100,000,000","$20,000,000","$40,000,000","$8,000,000",40.00%
Kirk Cousins,QB,Redskins,"$19,953,000","$19,953,000","$19,953,000","$19,953,000",100.00%
Ryan Tannehill,QB,Dolphins,"$77,000,000","$19,250,000","$21,500,000","$5,375,000",27.90%
Ndamukong Suh,43DT,Dolphins,"$114,375,000","$19,062,500","$59,955,000","$9,992,500",52.40%
Colin Kaepernick,QB,49ers,"$114,000,000","$19,000,000","$12,973,766","$2,162,294",11.40%
Jay Cutler,QB,Bears,"$126,700,000","$18,100,000","$38,000,000","$5,428,571",30.00%
Brock Osweiler,QB,Texans,"$72,000,000","$18,000,000","$37,000,000","$9,250,000",51.40%
Tony Romo,QB,Cowboys,"$108,000,000","$18,000,000","$40,000,000","$6,666,666",37.00%
Matt Stafford,QB,Lions,"$53,000,000","$17,666,667","$33,500,000","$11,166,667",63.20%
Sam Bradford,QB,Eagles,"$35,000,000","$17,500,000","$22,000,000","$11,000,000",62.90%
Alex Smith,QB,Chiefs,"$68,000,000","$17,000,000","$19,000,000","$4,750,000",27.90%
Olivier Vernon,43DE,Giants,"$85,000,000","$17,000,000","$40,000,000","$8,000,000",47.10%
Justin Houston,34OLB,Chiefs,"$101,000,000","$16,833,333","$32,500,000","$5,416,667",32.20%
JJ Watt,34DE,Texans,"$100,000,000","$16,666,667","$20,876,385","$3,479,398",20.90%
Carson Palmer,QB,Cardinals,"$49,500,000","$16,500,000","$14,235,294","$4,745,098",28.80%
Andy Dalton,QB,Bengals,"$96,000,000","$16,000,000","$17,000,000","$2,833,333",17.70%
Marcell Dareus,43DT,Bills,"$95,100,000","$15,850,000","$42,900,000","$7,150,000",45.10%
Muhammad Wilkerson,34DE,Jets,"$15,701,000","$15,701,000",$0,$0,0
AJ Green,WR,Bengals,"$60,000,000","$15,000,000","$26,750,000","$6,687,500",44.60%
Alshon Jeffery,WR,Bears,"$14,599,000","$14,599,000","$14,599,000","$14,599,000",100.00%
Robert Quinn,43DE,Rams,"$57,014,895","$14,253,724","$15,618,583","$3,904,646",27.40%
Malik Jackson,34DE,Jaguars,"$85,500,000","$14,250,000","$31,500,000","$5,250,000",36.80%
Julio Jones,WR,Falcons,"$71,250,000","$14,250,000","$35,500,000","$7,100,000",49.80%
Von Miller,34OLB,Broncos,"$14,129,000","$14,129,000","$14,129,000","$14,129,000",100.00%
Darrelle Revis,CB,Jets,"$70,121,060","$14,024,212","$39,000,000","$7,800,000",55.60%
Patrick Peterson,CB,Cardinals,"$70,050,000","$14,010,000","$16,250,000","$3,250,000",23.20%
Adrian Peterson,RB,Vikings,"$42,000,000","$14,000,000","$13,000,000","$4,333,333",31.00%
Richard Sherman,CB,Seahawks,"$56,000,000","$14,000,000","$12,431,000","$3,107,750",22.20%
Demaryius Thomas,WR,Broncos,"$70,000,000","$14,000,000","$35,000,000","$7,000,000",50.00%
Dez Bryant,WR,Cowboys,"$70,000,000","$14,000,000","$32,000,000","$6,400,000",45.70%
Trumaine Johnson,CB,Rams,"$13,952,000","$13,952,000","$13,952,000","$13,952,000",100.00%
Josh Norman,CB,Panthers,"$13,952,000","$13,952,000",$0,$0,0
Cordy Glenn,LT,Bills,"$13,706,000","$13,706,000","$13,706,000","$13,706,000",100.00%
Gerald McCoy,43DT,Buccaneers,"$95,200,000","$13,600,000","$14,757,308","$2,108,187",15.50%
Joe Haden,CB,Browns,"$67,500,000","$13,500,000","$22,678,193","$4,535,639",33.60%
Clay Matthews,34OLB,Packers,"$66,000,000","$13,200,000","$20,500,000","$4,100,000",31.10%
Trent Williams,LT,Redskins,"$66,000,000","$13,200,000","$30,000,000","$6,000,000",45.50%
TY Hilton,WR,Colts,"$65,000,000","$13,000,000","$11,000,000","$2,200,000",16.90%
Janoris Jenkins,CB,Giants,"$62,500,000","$12,500,000","$28,800,000","$5,760,000",46.10%
Luke Kuechly,ILB,Panthers,"$61,795,295","$12,359,059","$27,000,000","$5,400,000",43.70%
Nick Foles,QB,Rams,"$24,500,000","$12,250,000","$12,022,000","$6,011,000",49.10%
Tyron Smith,LT,Cowboys,"$97,600,000","$12,200,000","$22,118,013","$2,764,752",22.66%
Marshawn Lynch,RB,Seahawks,"$24,000,000","$12,000,000","$12,000,000","$6,000,000",50.00%
Kelechi Osemele,LG,Raiders,"$58,500,000","$11,700,000","$25,400,000","$50,800,000",43.40%
Joe Thomas,LT,Browns,"$80,500,000","$11,500,000","$10,000,000","$1,428,571",12.40%
Ryan Kerrigan,34OLB,Redskins,"$57,500,000","$11,500,000","$23,788,000","$4,757,600",41.40%
Greg Hardy,43DE,Cowboys,"$11,311,600","$11,311,600",$0,$0,0.00%
Lane Johnson,RT,Eagles,"$56,250,000","$11,250,000","$20,862,242","$4,172,448",37.10%
Vincent Jackson,WR,Buccaneers,"$55,555,555","$11,111,111","$26,000,000","$5,200,000",46.80%
Larry Fitzgerald,WR,Cardinals,"$22,000,000","$11,000,000","$22,000,000","$11,000,000",100.00%
Jeremy Maclin,WR,Chiefs,"$55,000,000","$11,000,000","$22,500,000","$4,500,000",40.90%
Cameron Jordan,34DE,Saints,"$55,000,000","$11,000,000","$22,969,000","$4,593,800",41.80%
